cytoband	8q24.3	11q24.3	1q32.1	
			TIPRL	
			SLC9C2	
			LINC00303	
			LEMD1-AS1	
			LOC284578	
			LOC284581	
			LOC284648	
			SMG7-AS1	
			C1orf204	
			C1orf111	
			LINC01142	
			RAB7B	
			ANKRD45	
			BRINP3	
			CCDC190	
			OR10R2	
			FCRL6	
			KCNT2	
			RGSL1	
			ZBTB41	
			CYCSP52	
			PEAR1	
			SFT2D2	
			RPS10P7	
			ILDR2	
			FMO6P	
			LINC00272	
			C1orf53	
			TMEM81	
			VHLL	
			OR10K2	
			OR10K1	
			OR6Y1	
			OR6K3	
			VSIG8	
			C1orf226	
			LOC400794	
			C1orf220	
			LINC01344	
			APOBEC4	
			MIR181B1	
			MIR199A2	
			MIR205	
			MIR181A1	
			MIR214	
			MIR29B2	
			MIR29C	
			MIR9-1	
			RGS21	
			ETV3L	
			LRRC52	
			LOC440700	
			LOC440704	
			C1orf186	
			OR10J3	
			MIR135B	
			SUMO1P3	
			LINC00862	
			SERTAD4-AS1	
			MIR488	
			SNORD74	
			RPL31P11	
			MGAT4EP	
			MIR205HG	
			LOC646268	
			ASCL5	
			PCP4L1	
			SCARNA3	
			SNORA77	
			SNORD75	
			SNORD76	
			SNORD77	
			SNORD78	
			MIR556	
			MIR557	
			FAM72A	
			LOC729867	
			LOC730102	
			LOC730159	
			LINC01136	
			MIR765	
			MIR921	
			C1orf132	
			TSTD1	
			MIR181A1HG	
			CADM3-AS1	
			LOC100147773	
			GM140	
			GS1-279B7.1	
			MIR1231	
			MIR1278	
			MIR1295A	
			RASAL2-AS1	
			MIR1255B2	
			ZBED6	
			LOC100422212	
			MIR3119-1	
			MIR4259	
			MIR3120	
			MIR4260	
			MIR3119-2	
			MIR3121	
			MIR3658	
			LINC01133	
			LOC100505795	
			LOC100505918	
			LOC100506023	
			GAS5-AS1	
			PCAT6	
			LOC100506747	
			LINC01353	
			PMF1-BGLAP	
			LHX4-AS1	
			MIR4424	
			MIR4426	
			MIR4735	
			MIR4654	
			DNM3OS	
			MIR1295B	
			MIR5191	
			MIR5187	
			IPO9-AS1	
			DNM3-IT1	
			BLACAT1	
			LOC101928177	
			LOC101928372	
			LOC101928404	
			LINC01363	
			LOC101928565	
			LOC101928596	
			LOC101928650	
			LOC101928673	
			LOC101928696	
			LOC101928751	
			LOC101928778	
			LOC101928973	
			LINC01350	
			LINC01351	
			LINC01031	
			LOC101929224	
			LOC101929441	
			LOC101930114	
			LINC00970	
			MIR6740	
			MIR6769B	
			MIR6739	
			LOC102724601	
			LOC102724661	
			LOC102724919	
			LINC01032	
			LINC01222	
			LOC103021295	
			LOC103021296	
			PACERR	
			LINC01036	
			LINC01221	
			LOC105371458	
			LOC105372897	
			LINC01037	
			SNORA103	
			POP3	
			SCARNA18B	
