gene	n_patients_altered	freq_pct	n_gain	n_loss	patients	in_ptcl_list	in_cbioportal_cna	in_cbioportal_mut	evidence_tier
CDKN2A	7	35	6	1	B2_S01, B2_S04, B2_S08, B2_S12, B2_S15, B3_S01, B3_S05	TRUE	TRUE	TRUE	Tier 1 (PTCL gene list)
CDKN2B	7	35	6	1	B2_S01, B2_S04, B2_S08, B2_S12, B2_S15, B3_S01, B3_S05	TRUE	TRUE	FALSE	Tier 1 (PTCL gene list)
ERBB3	7	35	3	4	B2_S03, B2_S07, B2_S08, B2_S12, B2_S15, B3_S05, B3_S08	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
ESR1	7	35	1	6	B1_S05, B2_S03, B2_S04, B2_S05, B2_S12, B2_S16, B3_S01	FALSE	TRUE	TRUE	Tier 2 (cBioPortal CNA)
ETV6	7	35	4	3	B2_S03, B2_S07, B2_S08, B2_S12, B2_S15, B3_S05, B3_S08	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
FOXL2	7	35	4	3	B1_S01, B2_S03, B2_S04, B2_S05, B2_S12, B3_S05, B3_S09	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
IRS2	7	35	2	5	B1_S01, B2_S03, B2_S04, B2_S12, B2_S15, B3_S04, B3_S09	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
KMT2D	7	35	3	4	B2_S03, B2_S07, B2_S08, B2_S12, B2_S15, B3_S05, B3_S08	TRUE	FALSE	TRUE	Tier 1 (PTCL gene list)
KRAS	7	35	3	4	B2_S03, B2_S07, B2_S08, B2_S12, B2_S15, B3_S05, B3_S08	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
LATS2	7	35	1	6	B1_S01, B2_S03, B2_S04, B2_S12, B2_S15, B3_S08, B3_S09	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
MCL1	7	35	5	2	B1_S01, B1_S02, B2_S02, B2_S04, B2_S08, B2_S15, B3_S05	TRUE	TRUE	FALSE	Tier 1 (PTCL gene list)
MITF	7	35	4	3	B1_S01, B2_S03, B2_S04, B2_S05, B2_S15, B3_S05, B3_S09	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
MOB3B	7	35	6	1	B2_S01, B2_S04, B2_S08, B2_S12, B2_S15, B3_S01, B3_S05	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
NRAS	7	35	4	3	B1_S01, B1_S02, B2_S02, B2_S08, B2_S15, B3_S05, B3_S06	TRUE	FALSE	TRUE	Tier 1 (PTCL gene list)
PIK3C2G	7	35	4	3	B2_S03, B2_S07, B2_S08, B2_S12, B2_S15, B3_S05, B3_S08	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
RAD21	7	35	6	1	B1_S01, B2_S01, B2_S04, B2_S07, B2_S12, B2_S16, B3_S01	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
ROBO1	7	35	4	3	B1_S01, B2_S03, B2_S04, B2_S05, B2_S15, B3_S05, B3_S09	FALSE	TRUE	TRUE	Tier 2 (cBioPortal CNA)
SETDB1	7	35	5	2	B1_S01, B1_S02, B2_S02, B2_S04, B2_S08, B2_S15, B3_S05	FALSE	TRUE	TRUE	Tier 2 (cBioPortal CNA)
SGK1	7	35	1	6	B1_S05, B2_S03, B2_S04, B2_S12, B2_S16, B3_S01, B3_S08	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
SOX2	7	35	6	1	B1_S01, B2_S03, B2_S05, B2_S07, B2_S12, B3_S05, B3_S09	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
TBL1XR1	7	35	6	1	B1_S01, B2_S03, B2_S05, B2_S07, B2_S12, B3_S05, B3_S09	TRUE	FALSE	TRUE	Tier 1 (PTCL gene list)
TNFAIP3	7	35	1	6	B1_S05, B2_S03, B2_S04, B2_S12, B2_S16, B3_S01, B3_S08	TRUE	TRUE	TRUE	Tier 1 (PTCL gene list)
TP63	7	35	5	2	B1_S01, B2_S03, B2_S05, B2_S07, B2_S12, B3_S05, B3_S09	TRUE	FALSE	FALSE	Tier 1 (PTCL gene list)
B2M	6	30	2	4	B2_S02, B2_S04, B2_S05, B2_S08, B2_S12, B2_S15	TRUE	FALSE	FALSE	Tier 1 (PTCL gene list)
BRCA2	6	30	1	5	B1_S01, B2_S03, B2_S04, B2_S12, B2_S15, B3_S09	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
CARD11	6	30	3	3	B2_S07, B2_S08, B2_S12, B2_S15, B2_S16, B3_S01	TRUE	FALSE	TRUE	Tier 1 (PTCL gene list)
CCND1	6	30	6	0	B1_S01, B2_S01, B2_S04, B2_S15, B3_S04, B3_S05	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
CD28	6	30	3	3	B1_S02, B1_S05, B2_S08, B2_S15, B3_S01, B3_S09	TRUE	TRUE	TRUE	Tier 1 (PTCL gene list)
CDH1	6	30	2	4	B2_S04, B2_S07, B2_S12, B2_S15, B2_S16, B3_S05	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
CDK8	6	30	1	5	B1_S01, B2_S03, B2_S04, B2_S12, B2_S15, B3_S09	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
CIITA	6	30	5	1	B2_S01, B2_S08, B2_S12, B2_S15, B2_S16, B3_S05	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
CREBBP	6	30	5	1	B2_S01, B2_S08, B2_S12, B2_S15, B2_S16, B3_S05	TRUE	TRUE	TRUE	Tier 1 (PTCL gene list)
CXCR4	6	30	3	3	B1_S02, B1_S05, B2_S08, B2_S15, B3_S01, B3_S09	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
EP400	6	30	4	2	B2_S01, B2_S03, B2_S08, B2_S15, B3_S05, B3_S08	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
FANCA	6	30	2	4	B2_S04, B2_S07, B2_S12, B2_S15, B2_S16, B3_S05	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
FAS	6	30	4	2	B2_S02, B2_S03, B2_S08, B2_S12, B2_S16, B3_S08	TRUE	TRUE	TRUE	Tier 1 (PTCL gene list)
FGF3	6	30	6	0	B1_S01, B2_S01, B2_S04, B2_S15, B3_S04, B3_S05	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
FLT1	6	30	1	5	B1_S01, B2_S03, B2_S04, B2_S12, B2_S15, B3_S09	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
FLT3	6	30	1	5	B1_S01, B2_S03, B2_S04, B2_S12, B2_S15, B3_S09	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
GRIN2A	6	30	5	1	B2_S01, B2_S08, B2_S12, B2_S15, B2_S16, B3_S05	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
H1-2	6	30	2	4	B1_S05, B2_S04, B2_S05, B2_S07, B3_S04, B3_S08	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
H1-3	6	30	2	4	B1_S05, B2_S04, B2_S05, B2_S07, B3_S04, B3_S08	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
H1-4	6	30	2	4	B1_S05, B2_S04, B2_S05, B2_S07, B3_S04, B3_S08	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
H2AC6	6	30	2	4	B1_S05, B2_S04, B2_S05, B2_S07, B3_S04, B3_S08	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
H2BC5	6	30	2	4	B1_S05, B2_S04, B2_S05, B2_S07, B3_S04, B3_S08	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
H3C2	6	30	2	4	B1_S05, B2_S04, B2_S05, B2_S07, B3_S04, B3_S08	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
HGF	6	30	5	1	B2_S01, B2_S08, B2_S12, B2_S15, B2_S16, B3_S01	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
HLA-A	6	30	2	4	B1_S05, B2_S04, B2_S05, B2_S07, B3_S04, B3_S08	TRUE	FALSE	TRUE	Tier 1 (PTCL gene list)
IDH2	6	30	1	5	B2_S02, B2_S04, B2_S05, B2_S08, B2_S12, B2_S15	TRUE	TRUE	TRUE	Tier 1 (PTCL gene list)
IGF1R	6	30	1	5	B2_S02, B2_S04, B2_S05, B2_S08, B2_S12, B2_S15	FALSE	TRUE	TRUE	Tier 2 (cBioPortal CNA)
NCOA3	6	30	5	1	B1_S05, B2_S04, B2_S07, B2_S08, B2_S15, B3_S04	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
PALB2	6	30	5	1	B2_S01, B2_S08, B2_S12, B2_S15, B2_S16, B3_S05	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
PDCD1	6	30	1	5	B1_S02, B1_S05, B2_S08, B2_S16, B3_S08, B3_S09	TRUE	TRUE	FALSE	Tier 1 (PTCL gene list)
PLCG2	6	30	2	4	B2_S04, B2_S07, B2_S12, B2_S15, B2_S16, B3_S05	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
PRKCB	6	30	5	1	B2_S01, B2_S08, B2_S12, B2_S15, B2_S16, B3_S05	TRUE	FALSE	FALSE	Tier 1 (PTCL gene list)
PTEN	6	30	4	2	B2_S02, B2_S03, B2_S08, B2_S12, B2_S16, B3_S08	TRUE	TRUE	TRUE	Tier 1 (PTCL gene list)
PTPN1	6	30	5	1	B1_S05, B2_S04, B2_S07, B2_S08, B2_S15, B3_S04	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
PTPN2	6	30	2	4	B1_S01, B2_S03, B2_S04, B2_S15, B2_S16, B3_S08	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
SF3B1	6	30	3	3	B1_S02, B1_S05, B2_S08, B2_S15, B3_S01, B3_S09	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
SMC3	6	30	3	3	B2_S02, B2_S03, B2_S08, B2_S12, B2_S16, B3_S08	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
SOCS1	6	30	5	1	B2_S01, B2_S08, B2_S12, B2_S15, B2_S16, B3_S05	TRUE	TRUE	TRUE	Tier 1 (PTCL gene list)
SUFU	6	30	3	3	B2_S02, B2_S03, B2_S08, B2_S12, B2_S16, B3_S08	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
TET1	6	30	3	3	B2_S02, B2_S03, B2_S08, B2_S12, B2_S16, B3_S08	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
TSC2	6	30	5	1	B2_S01, B2_S08, B2_S12, B2_S15, B2_S16, B3_S05	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
TSHR	6	30	5	1	B1_S01, B2_S03, B2_S15, B2_S16, B3_S01, B3_S05	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
ARID4A	5	25	5	0	B1_S01, B2_S03, B2_S15, B3_S01, B3_S05	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
ARID5A	5	25	3	2	B1_S02, B1_S05, B2_S08, B3_S01, B3_S09	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
ARID5B	5	25	2	3	B2_S02, B2_S08, B2_S12, B2_S16, B3_S08	FALSE	TRUE	TRUE	Tier 2 (cBioPortal CNA)
AURKA	5	25	4	1	B1_S05, B2_S07, B2_S08, B2_S15, B3_S04	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
BARD1	5	25	2	3	B1_S02, B1_S05, B2_S08, B2_S15, B3_S09	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
BTG1	5	25	2	3	B2_S03, B2_S08, B2_S15, B3_S05, B3_S08	FALSE	TRUE	FALSE	Tier 2 (cBioPortal CNA)
CDK6	5	25	5	0	B2_S08, B2_S12, B2_S15, B2_S16, B3_S01	FALSE	TRUE	TRUE	Tier 2 (cBioPortal CNA)
CUX1	5	25	5	0	B2_S08, B2_S12, B2_S15, B2_S16, B3_S01	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
DAXX	5	25	1	4	B1_S05, B2_S04, B2_S05, B3_S04, B3_S08	FALSE	TRUE	FALSE	Tier 2 (cBioPortal CNA)
EGFR	5	25	2	3	B2_S08, B2_S12, B2_S15, B2_S16, B3_S01	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
EPHA3	5	25	3	2	B1_S01, B2_S04, B2_S05, B3_S05, B3_S09	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
ERBB4	5	25	2	3	B1_S02, B1_S05, B2_S08, B2_S15, B3_S09	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
EZH2	5	25	4	1	B2_S04, B2_S08, B2_S12, B2_S15, B2_S16	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
GNAS	5	25	4	1	B1_S05, B2_S07, B2_S08, B2_S15, B3_S04	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
HDAC4	5	25	1	4	B1_S02, B1_S05, B2_S08, B2_S16, B3_S09	FALSE	TRUE	FALSE	Tier 2 (cBioPortal CNA)
IKZF1	5	25	3	2	B2_S08, B2_S12, B2_S15, B2_S16, B3_S01	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
JAK1	5	25	4	1	B1_S01, B1_S02, B2_S02, B2_S15, B3_S05	TRUE	FALSE	TRUE	Tier 1 (PTCL gene list)
KMT2C	5	25	4	1	B2_S04, B2_S08, B2_S12, B2_S15, B2_S16	TRUE	FALSE	TRUE	Tier 1 (PTCL gene list)
LTB	5	25	1	4	B1_S05, B2_S04, B2_S05, B3_S04, B3_S08	FALSE	TRUE	FALSE	Tier 2 (cBioPortal CNA)
MGAM	5	25	4	1	B2_S04, B2_S08, B2_S12, B2_S15, B2_S16	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
NCOR2	5	25	3	2	B2_S01, B2_S03, B2_S08, B2_S15, B3_S05	FALSE	TRUE	TRUE	Tier 2 (cBioPortal CNA)
NKX2-1	5	25	2	3	B1_S01, B2_S15, B2_S16, B3_S01, B3_S05	FALSE	TRUE	TRUE	Tier 2 (cBioPortal CNA)
NOTCH4	5	25	1	4	B1_S05, B2_S04, B2_S05, B3_S04, B3_S08	FALSE	TRUE	TRUE	Tier 2 (cBioPortal CNA)
PAK5	5	25	5	0	B2_S04, B2_S07, B2_S08, B2_S15, B3_S04	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
PLCG1	5	25	4	1	B1_S05, B2_S07, B2_S08, B2_S15, B3_S04	TRUE	FALSE	TRUE	Tier 1 (PTCL gene list)
